Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",51.3080,18.2118,0.0000,bottom
"C2","4u7","C_0805_2012Metric",42.8752,22.5552,0.0000,bottom
"C3","15p","C_0805_2012Metric",30.7340,19.7358,-90.0000,bottom
"C4","15p","C_0805_2012Metric",37.4396,19.8374,90.0000,bottom
"C5","22u","C_0805_2012Metric",58.0898,37.2364,90.0000,bottom
"C6","47u","C_0805_2012Metric",51.9176,38.3032,90.0000,bottom
"C7","10u","C_0805_2012Metric",50.8762,34.9250,-90.0000,bottom
"C8","10uF","CP_EIA-3216-18_Kemet-A",38.4124,42.9220,180.0000,bottom
"C9","100nF","C_0805_2012Metric",38.2270,40.6360,180.0000,bottom
"C10","100nF","C_0805_2012Metric",36.2966,23.8760,180.0000,bottom
"C11","100nF","C_0805_2012Metric",45.0342,32.0040,-90.0000,bottom
"C12","100nF","C_0805_2012Metric",27.5082,32.0040,90.0000,bottom
"C13","22u","C_0805_2012Metric",70.0786,36.3982,90.0000,bottom
"C14","47u","C_0805_2012Metric",64.0842,36.6268,90.0000,bottom
"C15","10u","C_0805_2012Metric",61.9760,34.4424,-90.0000,bottom
"D1","BAS516","D_SOD-523",50.5968,14.0970,-90.0000,bottom
"D2","BZX585-B5V6.115","D_SOD-523",51.2064,16.2814,0.0000,bottom
"D3","BLUE","LED_1206_3216Metric",8.2550,37.2110,180.0000,bottom
"D4","RED","LED_1206_3216Metric",8.2042,41.6306,180.0000,bottom
"D5","RED","LED_1206_3216Metric",61.9760,51.1556,-90.0000,bottom
"D6","GREEN","LED_1206_3216Metric",8.2550,32.5120,180.0000,bottom
"D7","RED","LED_1206_3216Metric",65.4304,51.1556,-90.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",8.5090,16.6370,0.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",73.7108,15.8750,90.0000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",17.1196,52.2478,180.0000,bottom
"J1","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",46.6090,8.7376,180.0000,bottom
"J2","SM08B-GHS-TB","JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal",21.0312,8.7884,180.0000,bottom
"J3","HEADER_2x03","SMD_2x03_WO_paste",48.7172,25.5524,180.0000,top
"J4","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",34.8488,8.7122,180.0000,bottom
"J5","HEADER_2x15","PinSocket_2x15_P2.54mm_Vertical",23.1440,52.6488,90.0000,top
"J6","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",60.1726,8.8646,180.0000,bottom
"L1","NL03KT330","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",51.3842,20.1168,0.0000,bottom
"L2","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",55.1434,38.2270,180.0000,bottom
"L3","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",67.0814,37.2110,180.0000,bottom
"M1","HOLE","MountingHole_3mm",10.1600,50.8000,0.0000,top
"M2","HOLE","MountingHole_3mm",71.1200,50.8000,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",71.1200,10.1600,0.0000,top
"Q1","BC817-25","SOT-23",12.6238,37.1348,90.0000,bottom
"Q2","BC817-25","SOT-23",12.7254,42.2656,90.0000,bottom
"Q3","BC817-25","SOT-23",12.8778,31.7754,90.0000,bottom
"R1","100R","R_0805_2012Metric",48.1838,13.9192,-90.0000,bottom
"R2","10k","R_0805_2012Metric",43.2816,39.3954,180.0000,bottom
"R3","10k","R_0805_2012Metric",47.6345,39.5255,0.0000,bottom
"R4","100R","R_0805_2012Metric",46.1518,13.9192,-90.0000,bottom
"R5","10k","R_0805_2012Metric",39.9288,22.3012,-90.0000,bottom
"R6","51R","R_0805_2012Metric",8.7376,39.4208,180.0000,bottom
"R7","10k","R_0805_2012Metric",16.6370,36.5506,180.0000,bottom
"R8","82R","R_0805_2012Metric",9.2202,44.6278,180.0000,bottom
"R9","10k","R_0805_2012Metric",16.6370,41.6306,180.0000,bottom
"R10","511k","R_0805_2012Metric",52.8066,35.0266,-90.0000,bottom
"R11","91k","R_0805_2012Metric",53.6956,32.3850,0.0000,bottom
"R12","10k","R_0805_2012Metric",25.9842,22.0218,-90.0000,bottom
"R13","10k","R_0805_2012Metric",23.9522,22.0218,-90.0000,bottom
"R14","180R","R_0805_2012Metric",62.0522,46.8884,-90.0000,bottom
"R15","18R","R_0805_2012Metric",8.9154,34.9250,180.0000,bottom
"R16","10k","R_0805_2012Metric",16.6370,31.7246,180.0000,bottom
"R17","100R","R_0805_2012Metric",26.2636,13.8176,-90.0000,bottom
"R18","100R","R_0805_2012Metric",24.3332,13.8430,-90.0000,bottom
"R19","100R","R_0805_2012Metric",21.1328,13.8176,-90.0000,bottom
"R20","100R","R_0805_2012Metric",18.5420,13.8176,-90.0000,bottom
"R21","100R","R_0805_2012Metric",16.4592,13.8176,-90.0000,bottom
"R22","806k","R_0805_2012Metric",64.0842,33.0962,-90.0000,bottom
"R23","91k","R_0805_2012Metric",66.8274,32.0548,0.0000,bottom
"R24","180R","R_0805_2012Metric",65.7606,46.8884,-90.0000,bottom
"R25","100R","R_0603_1608Metric",63.3476,13.7414,90.0000,bottom
"R26","10k","R_0805_2012Metric",29.6418,46.7106,0.0000,bottom
"R27","100R","R_0603_1608Metric",61.7982,13.7160,90.0000,bottom
"R28","100R","R_0603_1608Metric",60.2996,13.7414,90.0000,bottom
"R29","100R","R_0603_1608Metric",58.6486,13.8176,90.0000,bottom
"R30","100R","R_0603_1608Metric",57.0992,13.7160,90.0000,bottom
"SW1","SKRTLAE010","KMT031 NGJ LHS C&K",43.2816,42.5196,0.0000,bottom
"SW2","SKRTLAE010","KMT031 NGJ LHS C&K",47.6250,42.6212,0.0000,bottom
"U1","TPS631000DRLR","SOT-583-8",55.0785,35.3822,-90.0000,bottom
"U2","ATMEGA1284P-AU","TQFP-44_10x10mm_P0.8mm",36.6014,32.0040,90.0000,bottom
"U3","TPS631000DRLR","SOT-583-8",67.0673,34.5440,-90.0000,bottom
"Y1","8 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",34.1148,19.7658,180.0000,bottom
